record_id,product_family_id,source,display_currency,cleaned_price,price_basis,participant_profile,price_recheck_date,comparison_service_window,rechecked_source_price,rechecked_source_currency,rechecked_price_basis,normalized_currency,normalized_price,fx_rate,fx_rate_date,fx_source,price_qa_status,price_analysis_eligible,recheck_provenance_url,exclusion_or_scope_note
APD02-045,PF-APD02-045,TIQETS,GBP,11.56,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-canal-cruise-with-optional-snack-p1135508/,Excluded: common service-window price not verified.
APD02-046,PF-APD02-046,TIQETS,GBP,19.26,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-dutch-cheese-tasting-at-henri-willig-p855999/,Excluded: common service-window price not verified.
APD02-047,PF-APD02-047,TIQETS,GBP,4.71,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-city-tour-of-amsterdam-audio-guide-app-p1015995/,Excluded: common service-window price not verified.
APD02-048,PF-APD02-048,TIQETS,NOT_DISPLAYED,,bundle,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-i-amsterdam-city-card-p975500/,Excluded: non-comparable or non-numeric basis.
APD02-049,PF-APD02-049,DIRECT,EUR,14.5,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/100-highlights-cruise/,Excluded: common service-window price not verified.
APD02-050,PF-APD02-050,DIRECT,EUR,20.5,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/small-boat-cruise/,Excluded: common service-window price not verified.
APD02-051,PF-APD02-051,DIRECT,EUR,23.5,per_group,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/pedal-boat/,Excluded: non-comparable or non-numeric basis.
APD02-052,PF-APD02-052,DIRECT,EUR,33.5,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.stromma.com/en-nl/amsterdam/dining-cruises/cheese-wine-cruise/,Excluded: common service-window price not verified.
APD02-053,PF-APD02-053,DIRECT,EUR,34.5,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.stromma.com/en-nl/amsterdam/dining-cruises/pizza-cruise/,Excluded: common service-window price not verified.
APD02-054,PF-APD02-054,DIRECT,EUR,44,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://mikesbiketoursamsterdam.com/urban-adventures-tour-amsterdam/,Excluded: common service-window price not verified.
APD02-055,PF-APD02-055,DIRECT,EUR,59,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://mikesbiketoursamsterdam.com/countryside-bike-tour-north-e-bike/,Excluded: common service-window price not verified.
APD02-056,PF-MIKES-CITY-BIKE,DIRECT,EUR,35,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://mikesbiketoursamsterdam.com/,Excluded: common service-window price not verified.
APD02-057,PF-APD02-057,DIRECT,EUR,45,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.yellowbike.nl/en/tours/countryside-bike-tour-from-amsterdam/,Excluded: common service-window price not verified.
APD02-058,PF-LOVERS-CLASSIC-CANAL,DIRECT,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.lovers.nl/amsterdam-city-canal-cruises/1-h-amsterdam-day-canal-cruise/,Excluded: non-comparable or non-numeric basis.
APD02-059,PF-APD02-059,DIRECT,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.lovers.nl/amsterdam-dinner-cruises/new-york-pizza-cruise-lovers/,Excluded: non-comparable or non-numeric basis.
APD02-060,PF-APD02-060,DIRECT,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.lovers.nl/amsterdam-dinner-cruises/amsterdam-culinary-cruise/,Excluded: non-comparable or non-numeric basis.
APD02-061,PF-APD02-061,GYG,USD,53,per_person,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-walking-tour-t616749/,Excluded: common service-window price not verified.
APD02-062,PF-APD02-062,GYG,USD,30,per_person,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-culture-history-walking-tour-in-german-t66011/,Excluded: common service-window price not verified.
APD02-063,PF-APD02-063,GYG,USD,32,per_person,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-historic-center-walking-tour-t629371/,Excluded: common service-window price not verified.
APD02-064,PF-APD02-064,GYG,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-guided-italian-walking-tour-t205525/,Excluded: non-comparable or non-numeric basis.
APD02-065,PF-APD02-065,GYG,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.getyourguide.com/amsterdam-l36/secret-food-tours-amsterdam-t171273/,Excluded: non-comparable or non-numeric basis.
APD02-066,PF-APD02-066,GYG,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-food-tour-with-drinks-by-spui-canals-and-jordaan-t435248/,Excluded: non-comparable or non-numeric basis.
APD02-067,PF-APD02-067,GYG,USD,114,per_person,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.getyourguide.com/amsterdam-l36/eating-amsterdam-albert-cuyp-market-the-pijp-food-tour-t650212/,Excluded: common service-window price not verified.
APD02-068,PF-APD02-068,GYG,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.getyourguide.com/amsterdam-l36/amsterdam-self-guided-foodie-tour-with-8-stops-t426248/,Excluded: non-comparable or non-numeric basis.
APD02-069,PF-APD02-069,VOICEMAP,USD,8.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,9.99,USD,per_person_date_independent,EUR,8.54,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,Eligible only within date-independent digital-product price subset.
APD02-070,PF-APD02-070,VOICEMAP,USD,11.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,11.99,USD,per_person_date_independent,EUR,10.25,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district/sites/entrepotdok,Eligible only within date-independent digital-product price subset.
